slug;id;name;ico;fuzzy;explanation;parent
aau;03arvv474;Anglo-American University;25940082;0;;
agritec.agritec_plant;03jz5v392;Agritec Plant Research;26784246;0;;
agrotest_fyto;026vm4649;Agrotest fyto;25328859;0;;
amu;05mjwh489;Akademie múzických umění v Praze;61384984;0;;
amu.divadelni_fakulta;orjk:51210;Divadelní fakulta / Akademie múzických umění v Praze;;1;Akademie múzických umění v Praze / Divadelní fakulta;05mjwh489
amu.divadelni_fakulta.katedra_alternativniho_a_loutkoveho_divadla;orjk:51210:0001;Katedra alternativního a loutkového divadla / Divadelní fakulta / Akademie múzických umění v Praze;;;;orjk:51210
amu.divadelni_fakulta.katedra_autorske_tvorby_a_pedagogiky;orjk:51210:0002;Katedra autorské tvorby a pedagogiky / Divadelní fakulta / Akademie múzických umění v Praze;;;;orjk:51210
am_uni;035xkbk20;Aix-Marseille Université;;0;;
art_carbon;ico:06423469;Art Carbon s.r.o.;06423469;1;ART CARBON s.r.o.;
asu_cas;03tp8z347;Astronomický ústav AV ČR;67985815;0;;
bc_cas;05pq4yn02;Biologické centrum AV ČR;60077344;0;;
bfu_cas;00angvn73;Biofyzikální ústav AV ČR;68081707;0;;
bruker_corporation;04r739x86;Bruker Corporation;;0;;
ceitec;01p7k1986;CEITEC;;0;;
cesnet;050dkka69;CESNET;63839172;0;;
cherkasy_uni;009apaj69;Cherkasy National University;;0;;
cog_cz;01p7k1986;CEITEC;;0;;
cog_cz.ceitec_mu;009nz6031;CEITEC MU / CEITEC;;0;;01p7k1986
comtes_fht;00hzjtg80;COMTES FHT;26316919;0;;
cvgz_cas;01v5hek98;Ústav výzkumu globální změny AV ČR;86652079;0;;
cvut;03kqpb082;České vysoké učení technické v Praze;68407700;0;;
cvut.fakulta_informacnich_technologii;orjk:21240;Fakulta informačních technologií / České vysoké učení technické v Praze;;1;České vysoké učení technické v Praze / Fakulta informačních technologií;03kqpb082
cvut.fakulta_strojni;orjk:21220;Fakulta strojní / České vysoké učení technické v Praze;;;;03kqpb082
cvut.fakulta_strojni.ustav_mechaniky_biomechaniky_a_mechatroniky;orjk:21220:0001;Ústav mechaniky, biomechaniky a mechatroniky / Fakulta strojní / České vysoké učení technické v Praze;;;;orjk:21220
czu;0415vcw02;Česká zemědělská univerzita v Praze;60460709;0;;
