src_id,tgt_id,src_title,tgt_title
contact_person,ContactPerson,"{'cs': 'kontaktní osoba', 'en': 'contact person'}","{'cs': 'Kontaktní osoba', 'en': 'Contact Person'}"
data_collector,DataCollector,"{'cs': 'sběratel dat', 'en': 'data collector'}","{'cs': 'Sběratel dat', 'en': 'Data Collector'}"
data_curator,DataCurator,"{'cs': 'kurátor dat', 'en': 'data curator'}","{'cs': 'Kurátor dat', 'en': 'Data Curator'}"
data_manager,DataManager,"{'cs': 'manažer dat', 'en': 'data manager'}","{'cs': 'Manažer dat', 'en': 'Data Manager'}"
distributor,Distributor,"{'cs': 'distributor', 'en': 'distributor'}","{'cs': 'Distributor', 'en': 'Distributor'}"
editor,Editor,"{'cs': 'editor', 'en': 'editor'}","{'cs': 'Editor', 'en': 'Editor'}"
producer,Producer,"{'cs': 'producent', 'en': 'producer'}","{'cs': 'Producent', 'en': 'Producer'}"
project_leader,ProjectLeader,"{'cs': 'vedoucí projektu', 'en': 'project leader'}","{'cs': 'Vedoucí projektu', 'en': 'Project Leader'}"
project_manager,ProjectManager,"{'cs': 'projektový manažer', 'en': 'project manager'}","{'cs': 'Projektový manažer', 'en': 'Project Manager'}"
project_member,ProjectMember,"{'cs': 'člen projektu', 'en': 'project member'}","{'cs': 'Člen projektového týmu', 'en': 'Project Member'}"
researcher,Researcher,"{'cs': 'výzkumník', 'en': 'researcher'}","{'cs': 'Výzkumník', 'en': 'Researcher'}"
research_group,ResearchGroup,"{'cs': 'výzkumná skupina', 'en': 'research group'}","{'cs': 'Výzkumná skupina', 'en': 'Research Group'}"
rights_holder,RightsHolder,"{'cs': 'majitel práv', 'en': 'rights holder'}","{'cs': 'Majitel práv', 'en': 'Rights Holder'}"
supervisor,Supervisor,"{'cs': 'supervizor', 'en': 'supervisor'}","{'cs': 'Supervizor', 'en': 'Supervisor'}"
advisor,RelatedPerson,"{'cs': 'vedoucí', 'en': 'advisor'}","{'cs': 'Související osoba', 'en': 'Related Person'}"
translator,Translator,"{'cs': 'překladatel', 'en': 'translator'}","{'cs': 'Překladatel', 'en': 'Translator'}"
collaborator,RelatedPerson,"{'cs': 'spolupracovník', 'en': 'collaborator'}","{'cs': 'Související osoba', 'en': 'Related Person'}"
artist,RelatedPerson,"{'cs': 'umělec', 'en': 'artist'}","{'cs': 'Související osoba', 'en': 'Related Person'}"
