src_id,tgt_id,src_title,tgt_title
che,CHE,"{'cs': 'čečenština', 'en': 'Chechen'}","{'cs': 'Chechen', 'en': 'Chechen'}"
aar,AAR,"{'cs': 'afarština', 'en': 'Afar'}","{'cs': 'Afar', 'en': 'Afar'}"
chu,CHU,"{'cs': 'staroslověnština', 'en': 'Church Slavic'}","{'cs': 'Church Slavic', 'en': 'Church Slavic'}"
chv,CHV,"{'cs': 'čuvaština', 'en': 'Chuvash'}","{'cs': 'Chuvash', 'en': 'Chuvash'}"
cor,COR,"{'cs': 'kornština', 'en': 'Cornish'}","{'cs': 'kornština', 'en': 'Cornish'}"
cos,COS,"{'cs': 'korsičtina', 'en': 'Corsican'}","{'cs': 'korsičtina', 'en': 'Corsican'}"
cre,CRE,"{'cs': 'kríjština', 'en': 'Cree'}","{'cs': 'Cree', 'en': 'Cree'}"
wel,CYM,"{'cs': 'velština', 'en': 'Welsh'}","{'cs': 'velština', 'en': 'Welsh'}"
dan,DAN,"{'cs': 'dánština', 'en': 'Danish'}","{'cs': 'dánština', 'en': 'Danish'}"
ger,DEU,"{'cs': 'němčina', 'en': 'German'}","{'cs': 'němčina', 'en': 'German'}"
div,DIV,"{'cs': 'maledivština', 'en': 'Divehi'}","{'cs': 'divehi', 'en': 'Dhivehi'}"
dzo,DZO,"{'cs': 'dzongkä', 'en': 'Dzongkha'}","{'cs': 'dzongkä', 'en': 'Dzongkha'}"
gre,ELL,"{'cs': 'řečtina', 'en': 'Greek'}","{'cs': 'řečtina', 'en': 'Greek'}"
eng,ENG,"{'cs': 'angličtina', 'en': 'English'}","{'cs': 'angličtina', 'en': 'English'}"
epo,EPO,"{'cs': 'esperanto', 'en': 'Esperanto'}","{'cs': 'esperanto', 'en': 'Esperanto'}"
est,EST,"{'cs': 'estonština', 'en': 'Estonian'}","{'cs': 'estonština', 'en': 'Estonian'}"
baq,EUS,"{'cs': 'baskičtina', 'en': 'Basque'}","{'cs': 'baskičtina', 'en': 'Basque'}"
ewe,EWE,"{'cs': 'eweština', 'en': 'Ewe'}","{'cs': 'eweština', 'en': 'Ewe'}"
fao,FAO,"{'cs': 'faerština', 'en': 'Faroese'}","{'cs': 'faerština', 'en': 'Faroese'}"
per,FAS,"{'cs': 'perština', 'en': 'Persian'}","{'cs': 'perština', 'en': 'Persian'}"
fij,FIJ,"{'cs': 'fidžijština', 'en': 'Fijian'}","{'cs': 'fidžijština', 'en': 'Fijian'}"
fin,FIN,"{'cs': 'finština', 'en': 'Finnish'}","{'cs': 'finština', 'en': 'Finnish'}"
fre,FRA,"{'cs': 'francouzština', 'en': 'French'}","{'cs': 'francouzština', 'en': 'French'}"
cha,CHA,"{'cs': 'čamoro', 'en': 'Chamorro'}","{'cs': 'čamorština', 'en': 'Chamorro'}"
abk,ABK,"{'cs': 'abcházština', 'en': 'Abkhazian'}","{'cs': 'Abkhazian', 'en': 'Abkhazian'}"
afr,AFR,"{'cs': 'afrikánština', 'en': 'Afrikaans'}","{'cs': 'afrikánština', 'en': 'Afrikaans'}"
aka,AKA,"{'cs': 'akanština', 'en': 'Akan'}","{'cs': 'akanština', 'en': 'Akan'}"
amh,AMH,"{'cs': 'amharština', 'en': 'Amharic'}","{'cs': 'amharština', 'en': 'Amharic'}"
ara,ARA,"{'cs': 'arabština', 'en': 'Arabic'}","{'cs': 'arabština', 'en': 'Arabic'}"
arg,ARG,"{'cs': 'aragonština', 'en': 'Aragonese'}","{'cs': 'Aragonese', 'en': 'Aragonese'}"
asm,ASM,"{'cs': 'ásámština', 'en': 'Assamese'}","{'cs': 'Assamese', 'en': 'Assamese'}"
ava,AVA,"{'cs': 'avarština', 'en': 'Avaric'}","{'cs': 'Avaric', 'en': 'Avaric'}"
ave,AVE,"{'cs': 'avestánština', 'en': 'Avestan'}","{'cs': 'Avestan', 'en': 'Avestan'}"
aym,AYM,"{'cs': 'ajmarština', 'en': 'Aymara'}","{'cs': 'ajmarština', 'en': 'Aymara'}"
aze,AZE,"{'cs': 'ázerbájdžánština', 'en': 'Azerbaijani'}","{'cs': 'ázerbájdžánština', 'en': 'Azerbaijani'}"
ice,ISL,"{'cs': 'islandština', 'en': 'Icelandic'}","{'cs': 'islandština', 'en': 'Icelandic'}"
ita,ITA,"{'cs': 'italština', 'en': 'Italian'}","{'cs': 'italština', 'en': 'Italian'}"
jav,JAV,"{'cs': 'javánština', 'en': 'Javanese'}","{'cs': 'Javanese', 'en': 'Javanese'}"
jpn,JPN,"{'cs': 'japonština', 'en': 'Japanese'}","{'cs': 'japonština', 'en': 'Japanese'}"
kal,KAL,"{'cs': 'grónština', 'en': 'Kalaallisut'}","{'cs': 'grónština', 'en': 'Greenlandic'}"
kan,KAN,"{'cs': 'kannadština', 'en': 'Kannada'}","{'cs': 'Kannada', 'en': 'Kannada'}"
kas,KAS,"{'cs': 'kašmírština', 'en': 'Kashmiri'}","{'cs': 'Kashmiri', 'en': 'Kashmiri'}"
geo,KAT,"{'cs': 'gruzínština', 'en': 'Georgian'}","{'cs': 'gruzínština', 'en': 'Georgian'}"
kau,KAU,"{'cs': 'kanuri', 'en': 'Kanuri'}","{'cs': 'Kanuri', 'en': 'Kanuri'}"
kaz,KAZ,"{'cs': 'kazaština', 'en': 'Kazakh'}","{'cs': 'kazaština', 'en': 'Kazakh'}"
khm,KHM,"{'cs': 'khmérština', 'en': 'Khmer'}","{'cs': 'khmerština', 'en': 'Khmer'}"
kik,KIK,"{'cs': 'kikujština', 'en': 'Kikuyu'}","{'cs': 'Kikuyu', 'en': 'Kikuyu'}"
kin,KIN,"{'cs': 'kiňarwandština', 'en': 'Kinyarwanda'}","{'cs': 'rwandština', 'en': 'Kinyarwanda'}"
kir,KIR,"{'cs': 'kyrgyzština', 'en': 'Kyrgyz'}","{'cs': 'kyrgyzština', 'en': 'Kyrgyz'}"
kom,KOM,"{'cs': 'komijština', 'en': 'Komi'}","{'cs': 'Komi', 'en': 'Komi'}"
kon,KON,"{'cs': 'konžština', 'en': 'Kongo'}","{'cs': 'kikongo', 'en': 'Kikongo'}"
kor,KOR,"{'cs': 'korejština', 'en': 'Korean'}","{'cs': 'korejština', 'en': 'Korean'}"
kua,KUA,"{'cs': 'kuaňamština', 'en': 'Kuanyama'}","{'cs': 'Kuanyama', 'en': 'Kuanyama'}"
kur,KUR,"{'cs': 'kurdština', 'en': 'Kurdish'}","{'cs': 'kurdština', 'en': 'Kurdish'}"
lao,LAO,"{'cs': 'laoština', 'en': 'Lao'}","{'cs': 'laoština', 'en': 'Lao'}"
lat,LAT,"{'cs': 'latina', 'en': 'Latin'}","{'cs': 'latina', 'en': 'Latin'}"
lav,LAV,"{'cs': 'lotyština', 'en': 'Latvian'}","{'cs': 'lotyština', 'en': 'Latvian'}"
lim,LIM,"{'cs': 'limburština', 'en': 'Limburgish'}","{'cs': 'Limburgan', 'en': 'Limburgan'}"
lin,LIN,"{'cs': 'lingalština', 'en': 'Lingala'}","{'cs': 'lingalština', 'en': 'Lingala'}"
lit,LIT,"{'cs': 'litevština', 'en': 'Lithuanian'}","{'cs': 'litevština', 'en': 'Lithuanian'}"
ltz,LTZ,"{'cs': 'lucemburština', 'en': 'Luxembourgish'}","{'cs': 'lucemburština', 'en': 'Luxembourgish'}"
lub,LUB,"{'cs': 'lubu-katanžština', 'en': 'Luba-Katanga'}","{'cs': 'Luba-Katanga', 'en': 'Luba-Katanga'}"
lug,LUG,"{'cs': 'gandština', 'en': 'Ganda'}","{'cs': 'Ganda', 'en': 'Ganda'}"
mah,MAH,"{'cs': 'maršálština', 'en': 'Marshallese'}","{'cs': 'maršalština', 'en': 'Marshallese'}"
mal,MAL,"{'cs': 'malajálamština', 'en': 'Malayalam'}","{'cs': 'Malayalam', 'en': 'Malayalam'}"
mar,MAR,"{'cs': 'maráthština', 'en': 'Marathi'}","{'cs': 'Marathi', 'en': 'Marathi'}"
mac,MKD,"{'cs': 'makedonština', 'en': 'Macedonian'}","{'cs': 'makedonština', 'en': 'Macedonian'}"
mlg,MLG,"{'cs': 'malgaština', 'en': 'Malagasy'}","{'cs': 'malgaština', 'en': 'Malagasy'}"
mlt,MLT,"{'cs': 'maltština', 'en': 'Maltese'}","{'cs': 'maltština', 'en': 'Maltese'}"
mon,MON,"{'cs': 'mongolština', 'en': 'Mongolian'}","{'cs': 'mongolština', 'en': 'Mongolian'}"
mao,MRI,"{'cs': 'maorština', 'en': 'Maori'}","{'cs': 'maorština', 'en': 'Māori'}"
may,MSA,"{'cs': 'malajština', 'en': 'Malay'}","{'cs': 'malajština', 'en': 'Malaysian'}"
bur,MYA,"{'cs': 'barmština', 'en': 'Burmese'}","{'cs': 'barmština', 'en': 'Burmese'}"
nau,NAU,"{'cs': 'naurština', 'en': 'Nauru'}","{'cs': 'naurština', 'en': 'Nauruan'}"
nav,NAV,"{'cs': 'navažština', 'en': 'Navajo'}","{'cs': 'Navajo', 'en': 'Navajo'}"
nbl,NBL,"{'cs': 'ndebele (Jižní Afrika)', 'en': 'South Ndebele'}","{'cs': 'jižní ndebelština', 'en': 'Southern Ndebele'}"
nde,NDE,"{'cs': 'ndebele (Zimbabwe)', 'en': 'North Ndebele'}","{'cs': 'severní ndebelština', 'en': 'North Ndebele'}"
ndo,NDO,"{'cs': 'ndondština', 'en': 'Ndonga'}","{'cs': 'Ndonga', 'en': 'Ndonga'}"
nep,NEP,"{'cs': 'nepálština', 'en': 'Nepali'}","{'cs': 'nepálština', 'en': 'Nepali'}"
dut,NLD,"{'cs': 'nizozemština', 'en': 'Dutch'}","{'cs': 'nizozemština', 'en': 'Dutch'}"
nno,NNO,"{'cs': 'norština (nynorsk)', 'en': 'Norwegian Nynorsk'}","{'cs': 'norština (nynorsk)', 'en': 'Norwegian Nynorsk'}"
nob,NOB,"{'cs': 'norština (bokmål)', 'en': 'Norwegian Bokmål'}","{'cs': 'norština (bokmål)', 'en': 'Norwegian Bokmål'}"
nor,NOR,"{'cs': 'norština', 'en': 'Norwegian'}","{'cs': 'norština', 'en': 'Norwegian'}"
nya,NYA,"{'cs': 'ňandžština', 'en': 'Nyanja'}","{'cs': 'čičevština', 'en': 'Chewa'}"
oci,OCI,"{'cs': 'okcitánština', 'en': 'Occitan'}","{'cs': 'okcitánština', 'en': 'Occitan'}"
oji,OJI,"{'cs': 'odžibvejština', 'en': 'Ojibwa'}","{'cs': 'Ojibwa', 'en': 'Ojibwa'}"
ori,ORI,"{'cs': 'urijština', 'en': 'Odia'}","{'cs': 'Oriya', 'en': 'Oriya'}"
orm,ORM,"{'cs': 'oromština', 'en': 'Oromo'}","{'cs': 'Oromo', 'en': 'Oromo'}"
oss,OSS,"{'cs': 'osetština', 'en': 'Ossetic'}","{'cs': 'osetština', 'en': 'Ossetic'}"
pan,PAN,"{'cs': 'paňdžábština', 'en': 'Punjabi'}","{'cs': 'paňdžábština', 'en': 'Punjabi'}"
pli,PLI,"{'cs': 'pálí', 'en': 'Pali'}","{'cs': 'Pali', 'en': 'Pali'}"
pol,POL,"{'cs': 'polština', 'en': 'Polish'}","{'cs': 'polština', 'en': 'Polish'}"
por,POR,"{'cs': 'portugalština', 'en': 'Portuguese'}","{'cs': 'portugalština', 'en': 'Portuguese'}"
pus,PUS,"{'cs': 'paštština', 'en': 'Pashto'}","{'cs': 'paštština', 'en': 'Pashto'}"
que,QUE,"{'cs': 'kečuánština', 'en': 'Quechua'}","{'cs': 'kečuánština', 'en': 'Quechua'}"
roh,ROH,"{'cs': 'rétorománština', 'en': 'Romansh'}","{'cs': 'románština', 'en': 'Romansh'}"
rum,RON,"{'cs': 'rumunština', 'en': 'Romanian'}","{'cs': 'rumunština', 'en': 'Romanian'}"
run,RUN,"{'cs': 'kirundština', 'en': 'Rundi'}","{'cs': 'rundština', 'en': 'Kirundi'}"
rus,RUS,"{'cs': 'ruština', 'en': 'Russian'}","{'cs': 'ruština', 'en': 'Russian'}"
sag,SAG,"{'cs': 'sangština', 'en': 'Sango'}","{'cs': 'sangština', 'en': 'Sango'}"
san,SAN,"{'cs': 'sanskrt', 'en': 'Sanskrit'}","{'cs': 'sanskrt', 'en': 'Sanskrit'}"
sin,SIN,"{'cs': 'sinhálština', 'en': 'Sinhala'}","{'cs': 'sinhálština', 'en': 'Sinhala'}"
slo,SLK,"{'cs': 'slovenština', 'en': 'Slovak'}","{'cs': 'slovenština', 'en': 'Slovak'}"
