src_id,tgt_id,src_title,tgt_title
cc,CC,"{'cs': 'Licence Creative Commons', 'en': 'License Creative Commons'}","{'cs': 'Licence Creative Commons', 'en': 'License Creative Commons'}"
cc.1_0,CC-1.0,"{'cs': 'verze 1.0 Obecná licence', 'en': 'version 1.0 Generic License'}","{'cs': 'verze 1.0 Obecná licence', 'en': 'version 1.0 Generic License'}"
cc.1_0.1_by,1-BY,"{'cs': 'Creative Commons Uveďte původ 1.0 Obecná licence', 'en': 'Creative Commons Attribution 1.0 Generic License'}","{'cs': 'Creative Commons Uveďte původ 1.0 Obecná licence', 'en': 'Creative Commons Attribution 1.0 Generic License'}"
cc.1_0.1_by_sa,1-BY-SA,"{'cs': 'Creative Commons Uveďte původ-Zachovejte licenci 1.0 Obecná licence', 'en': 'Creative Commons Attribution-ShareAlike 1.0 Generic License'}","{'cs': 'Creative Commons Uveďte původ-Zachovejte licenci 1.0 Obecná licence', 'en': 'Creative Commons Attribution-ShareAlike 1.0 Generic License'}"
cc.1_0.1_by_nc,1-BY-NC,"{'cs': 'Creative Commons Uveďte původ-Neužívejte komerčně 1.0 Obecná licence', 'en': 'Creative Commons Attribution-NonCommercial 1.0 Generic License'}","{'cs': 'Creative Commons Uveďte původ-Neužívejte komerčně 1.0 Obecná licence', 'en': 'Creative Commons Attribution-NonCommercial 1.0 Generic License'}"
cc.1_0.1_by_nc_sa,1-BY-NC-SA,"{'cs': 'Creative Commons Uveďte původ-Neužívejte dílo komerčně-Zachovejte licenci 1.0 Obecná licence', 'en': 'Creative Commons Attribution-NonCommercial-ShareAlike 1.0 Generic License'}","{'cs': 'Creative Commons Uveďte původ-Neužívejte dílo komerčně-Zachovejte licenci 1.0 Obecná licence', 'en': 'Creative Commons Attribution-NonCommercial-ShareAlike 1.0 Generic License'}"
cc.1_0.1_by_nd,1-BY-ND,"{'cs': 'Creative Commons Uveďte původ-Nezpracovávejte 1.0 Obecná licence', 'en': 'Creative Commons Attribution-NoDerivs 1.0 Generic License'}","{'cs': 'Creative Commons Uveďte původ-Nezpracovávejte 1.0 Obecná licence', 'en': 'Creative Commons Attribution-NoDerivs 1.0 Generic License'}"
cc.1_0.1_by_nd_nc,1-BY-ND-NC,"{'cs': 'Creative Commons Uveďte původ-Nezpracovávejte-Neužívejte komerčně 1.0 Obecná licence', 'en': 'Creative Commons Attribution-NoDerivs-NonCommercial 1.0 Generic License'}","{'cs': 'Creative Commons Uveďte původ-Nezpracovávejte-Neužívejte komerčně 1.0 Obecná licence', 'en': 'Creative Commons Attribution-NoDerivs-NonCommercial 1.0 Generic License'}"
cc.2_0,CC-2.0,"{'cs': 'verze 2.0 Obecná licence', 'en': 'version 2.0 Generic License'}","{'cs': 'verze 2.0 Obecná licence', 'en': 'version 2.0 Generic License'}"
cc.2_0.2_by,2-BY,"{'cs': 'Creative Commons Uveďte původ 2.0 Obecná licence', 'en': 'Creative Commons Attribution 2.0 Generic License'}","{'cs': 'Creative Commons Uveďte původ 2.0 Obecná licence', 'en': 'Creative Commons Attribution 2.0 Generic License'}"
cc.2_0.2_by_sa,2-BY-SA,"{'cs': 'Creative Commons Uveďte původ-Zachovejte licenci 2.0 Obecná licence', 'en': 'Creative Commons Attribution-ShareAlike 2.0 Generic License'}","{'cs': 'Creative Commons Uveďte původ-Zachovejte licenci 2.0 Obecná licence', 'en': 'Creative Commons Attribution-ShareAlike 2.0 Generic License'}"
cc.2_0.2_by_nc,2-BY-NC,"{'cs': 'Creative Commons Uveďte původ-Neužívejte komerčně 2.0 Obecná licence', 'en': 'Creative Commons Attribution-NonCommercial 2.0 Generic License'}","{'cs': 'Creative Commons Uveďte původ-Neužívejte komerčně 2.0 Obecná licence', 'en': 'Creative Commons Attribution-NonCommercial 2.0 Generic License'}"
cc.2_0.2_by_nc_sa,2-BY-NC-SA,"{'cs': 'Creative Commons Uveďte původ-Neužívejte dílo komerčně-Zachovejte licenci 2.0 Obecná licence', 'en': 'Creative Commons Attribution-NonCommercial-ShareAlike 2.0 Generic License'}","{'cs': 'Creative Commons Uveďte původ-Neužívejte dílo komerčně-Zachovejte licenci 2.0 Obecná licence', 'en': 'Creative Commons Attribution-NonCommercial-ShareAlike 2.0 Generic License'}"
cc.2_0.2_by_nd,2-BY-ND,"{'cs': 'Creative Commons Uveďte původ-Nezpracovávejte 2.0 Obecná licence', 'en': 'Creative Commons Attribution-NoDerivs 2.0 Generic License'}","{'cs': 'Creative Commons Uveďte původ-Nezpracovávejte 2.0 Obecná licence', 'en': 'Creative Commons Attribution-NoDerivs 2.0 Generic License'}"
cc.2_0.2_by_nc_nd,2-BY-NC-ND,"{'cs': 'Creative Commons Uveďte původ-Neužívejte komerčně-Nezpracovávejte 2.0 Obecná licence', 'en': 'Creative Commons Attribution-NonCommercial-NoDerivs 2.0 Generic License'}","{'cs': 'Creative Commons Uveďte původ-Neužívejte komerčně-Nezpracovávejte 2.0 Obecná licence', 'en': 'Creative Commons Attribution-NonCommercial-NoDerivs 2.0 Generic License'}"
cc.2_5,CC-2.5,"{'cs': 'verze 2.5 Obecná licence', 'en': 'version 2.5 Generic License'}","{'cs': 'verze 2.5 Obecná licence', 'en': 'version 2.5 Generic License'}"
cc.2_5.2_5_by,2-5-BY,"{'cs': 'Creative Commons Uveďte původ 2.5 Obecná licence', 'en': 'Creative Commons Attribution 2.5 Generic License'}","{'cs': 'Creative Commons Uveďte původ 2.5 Obecná licence', 'en': 'Creative Commons Attribution 2.5 Generic License'}"
cc.2_5.2_5_by_sa,2-5-BY-SA,"{'cs': 'Creative Commons Uveďte původ-Zachovejte licenci 2.5 Obecná licence', 'en': 'Creative Commons Attribution-ShareAlike 2.5 Generic License'}","{'cs': 'Creative Commons Uveďte původ-Zachovejte licenci 2.5 Obecná licence', 'en': 'Creative Commons Attribution-ShareAlike 2.5 Generic License'}"
