src_id,tgt_id,src_title,tgt_title
reviews,Reviews,"{'cs': 'recenzuje (co)', 'en': 'reviews'}","{'cs': 'recenzuje (co)', 'en': 'reviews'}"
iscontinuedby,IsContinuedBy,"{'cs': 'je pokračováním (čeho)', 'en': 'is continued by'}","{'cs': 'je pokračováním (čeho)', 'en': 'is continued by'}"
isversionof,IsVersionOf,"{'cs': 'je verzí', 'en': 'is version of'}","{'cs': 'je verzí', 'en': 'is version of'}"
hasversion,HasVersion,"{'cs': 'má verzi', 'en': 'has version'}","{'cs': 'má verzi', 'en': 'has version'}"
ispartof,IsPartOf,"{'cs': 'je součástí', 'en': 'is part of'}","{'cs': 'je součástí', 'en': 'is part of'}"
haspart,HasPart,"{'cs': 'má část/i', 'en': 'has part'}","{'cs': 'má část/i', 'en': 'has part'}"
isreviewedby,IsReviewedBy,"{'cs': 'je recenzován (čím)', 'en': 'is reviewed by'}","{'cs': 'je recenzován (čím)', 'en': 'is reviewed by'}"
iscompiledby,IsCompiledBy,"{'cs': 'kompilován (čím)', 'en': 'is compiled by'}","{'cs': 'kompilován (čím)', 'en': 'is compiled by'}"
compiles,Compiles,"{'cs': 'kompiluje (co)', 'en': 'compiles'}","{'cs': 'kompiluje (co)', 'en': 'compiles'}"
isreferencedby,IsReferencedBy,"{'cs': 'je na něj odkazováno z (čeho)', 'en': 'is referenced by'}","{'cs': 'je na něj odkazováno z (čeho)', 'en': 'is referenced by'}"
references,References,"{'cs': 'odkazuje (na co)', 'en': 'references'}","{'cs': 'odkazuje (na co)', 'en': 'references'}"
iscitedby,IsCitedBy,"{'cs': 'je citován (čím)', 'en': 'is cited by'}","{'cs': 'je citován (čím)', 'en': 'is cited by'}"
cites,Cites,"{'cs': 'cituje (co)', 'en': 'cites'}","{'cs': 'cituje (co)', 'en': 'cites'}"
isnewversionof,IsNewVersionOf,"{'cs': 'je novou verzí (čeho)', 'en': 'is new version of'}","{'cs': 'je novou verzí (čeho)', 'en': 'is new version of'}"
issupplementto,IsSupplementTo,"{'cs': 'je doplňkem k (čemu)', 'en': 'is supplement to'}","{'cs': 'je doplňkem k (čemu)', 'en': 'is supplement to'}"
issupplementedby,IsSupplementedBy,"{'cs': 'má doplněk', 'en': 'is supplemented by'}","{'cs': 'má doplněk', 'en': 'is supplemented by'}"
describes,Describes,"{'cs': 'popisuje (co)', 'en': 'describes'}","{'cs': 'popisuje (co)', 'en': 'describes'}"
isdescribedby,IsDescribedBy,"{'cs': 'je popsán (čím)', 'en': 'is described by'}","{'cs': 'je popsán (čím)', 'en': 'is described by'}"
ispublishedin,IsPublishedIn,"{'cs': 'je publikován v', 'en': 'is published in'}","{'cs': 'je publikován v', 'en': 'is published in'}"
isrequiredby,IsRequiredBy,"{'cs': 'je požadován (čím)', 'en': 'is required by'}","{'cs': 'je požadován (čím)', 'en': 'is required by'}"
requires,Requires,"{'cs': 'požaduje (co)', 'en': 'requires'}","{'cs': 'požaduje (co)', 'en': 'requires'}"
continues,Continues,"{'cs': 'pokračuje (čím)', 'en': 'continues'}","{'cs': 'pokračuje (čím)', 'en': 'continues'}"
hasmetadata,HasMetadata,"{'cs': 'má metadata', 'en': 'has metadata'}","{'cs': 'má metadata', 'en': 'has metadata'}"
ismetadatafor,IsMetadataFor,"{'cs': 'je metadaty pro', 'en': 'is metadata for'}","{'cs': 'je metadaty pro', 'en': 'is metadata for'}"
ispreviousversionof,IsPreviousVersionOf,"{'cs': 'je předchozí verzí (čeho)', 'en': 'is previous version of'}","{'cs': 'je předchozí verzí (čeho)', 'en': 'is previous version of'}"
isdocumentedby,IsDocumentedBy,"{'cs': 'je zdokumentován (čím)', 'en': 'is documented by'}","{'cs': 'je zdokumentován (čím)', 'en': 'is documented by'}"
documents,Documents,"{'cs': 'dokumentuje (co)', 'en': 'documents'}","{'cs': 'dokumentuje (co)', 'en': 'documents'}"
isvariantformof,IsVariantFormOf,"{'cs': 'je variantou (čeho)', 'en': 'is variant form of'}","{'cs': 'je variantou (čeho)', 'en': 'is variant form of'}"
isoriginalformof,IsOriginalFormOf,"{'cs': 'je původní variantou (čeho)', 'en': 'is original form of'}","{'cs': 'je původní variantou (čeho)', 'en': 'is original form of'}"
isidenticalto,IsIdenticalTo,"{'cs': 'je identický s', 'en': 'is identical to'}","{'cs': 'je identický s', 'en': 'is identical to'}"
isderivedfrom,IsDerivedFrom,"{'cs': 'je odvozen od (čeho)', 'en': 'is derived from'}","{'cs': 'je odvozen od (čeho)', 'en': 'is derived from'}"
issourceof,IsSourceOf,"{'cs': 'je zdrojem odvozené verze', 'en': 'is source of'}","{'cs': 'je zdrojem odvozené verze', 'en': 'is source of'}"
obsoletes,Obsoletes,"{'cs': 'nahrazuje (co)', 'en': 'obsoletes'}","{'cs': 'nahrazuje (co)', 'en': 'obsoletes'}"
isobsoletedby,IsObsoletedBy,"{'cs': 'je nahrazen (čím)', 'en': 'is obsoleted by'}","{'cs': 'je nahrazen (čím)', 'en': 'is obsoleted by'}"
