src_id,tgt_id,src_title,tgt_title
10000.10600.10615,10615,"{'cs': 'Ornitologie', 'en': 'Ornithology'}","{'cs': 'Ornitologie', 'en': 'Ornithology'}"
10000.10600.10616,10616,"{'cs': 'Entomologie', 'en': 'Entomology'}","{'cs': 'Entomologie', 'en': 'Entomology'}"
30000.30200.30226,30226,"{'cs': 'Revmatologie', 'en': 'Rheumatology'}","{'cs': 'Revmatologie', 'en': 'Rheumatology'}"
30000.30200.30227,30227,"{'cs': 'Geriatrie a gerontologie', 'en': 'Geriatrics and gerontology'}","{'cs': 'Geriatrie a gerontologie', 'en': 'Geriatrics and gerontology'}"
10000.10100,10100,"{'cs': 'Matematika', 'en': 'Mathematics'}","{'cs': 'Matematika', 'en': 'Mathematics'}"
10000.10100.10101,10101,"{'cs': 'Čistá matematika', 'en': 'Pure mathematics'}","{'cs': 'Čistá matematika', 'en': 'Pure mathematics'}"
10000.10100.10102,10102,"{'cs': 'Aplikovaná matematika', 'en': 'Applied mathematics'}","{'cs': 'Aplikovaná matematika', 'en': 'Applied mathematics'}"
10000.10100.10103,10103,"{'cs': 'Pravděpodobnost a statistika', 'en': 'Statistics and probability'}","{'cs': 'Pravděpodobnost a statistika', 'en': 'Statistics and probability'}"
10000.10200,10200,"{'cs': 'Počítačové vědy a informační věda', 'en': 'Computer and information sciences'}","{'cs': 'Počítačové vědy a informační věda', 'en': 'Computer and information sciences'}"
10000.10500.10509,10509,"{'cs': 'Meteorologie, vědy o atmosféře', 'en': 'Meteorology and atmospheric sciences'}","{'cs': 'Meteorologie, vědy o atmosféře', 'en': 'Meteorology and atmospheric sciences'}"
10000.10500.10510,10510,"{'cs': 'Výzkum klimatu', 'en': 'Climatic research'}","{'cs': 'Výzkum klimatu', 'en': 'Climatic research'}"
10000.10500.10511,10511,"{'cs': 'Environmentální vědy', 'en': 'Environmental sciences'}","{'cs': 'Environmentální vědy', 'en': 'Environmental sciences'}"
10000.10600,10600,"{'cs': 'Biologie', 'en': 'Biological sciences'}","{'cs': 'Biologie', 'en': 'Biological sciences'}"
10000.10600.10601,10601,"{'cs': 'Buněčná biologie', 'en': 'Cell biology'}","{'cs': 'Buněčná biologie', 'en': 'Cell biology'}"
20000,20000,"{'cs': 'Technické vědy, inženýrství', 'en': 'Engineering and technology'}","{'cs': 'Technické vědy, inženýrství', 'en': 'Engineering and technology'}"
